"Escola de Futsal Grèvol Infantil ""A""";-;Descansa;;28/10/2017;10:45;;Jornada 3;"Infantil ""A""";09. Infantil
C.F.S. La Garriga Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;28/10/2017;11:00;;Jornada 3;Pre-benjami A;12. Pre-benjami
A.E. Moià Infantil;-;Descansa;;28/10/2017;12:00;;Jornada 3;"Infantil ""B""";09. Infantil
E.F.S. Alta Segarra Femení;-;*RETIRAT* Trans Azanuy Fraga Femení;;28/10/2017;16:00;;Jornada 4;Nacional Femenina B;05. Nacional Femenina
A.E. I.E.S. Manuel Blancafort;-;*RETIRAT* Sants Atletic F.S. Femení;;28/10/2017;16:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 4;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* C.F.S. La Garriga Cadet;-;A.E. Moià Cadet;;28/10/2017;16:30;Poliesportiu Can Noguera;Jornada 3;"Cadet ""A""";08. Cadet
C.E.F.S. Granollers Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;28/10/2017;17:30;PavellÓ Municipal De Can Bassa;Jornada 3;Pre-benjami A;12. Pre-benjami
Restaurant 2007 La Fuliola;-;*RETIRAT* Club Futsal Alcarràs C;;28/10/2017;18:30;;Jornada 4;2a Territorial D;04. 2ª Territorial 2017-2018
E.F.S. Alta Segarra;-;*RETIRAT* F.S. Porqueres;;28/10/2017;18:30;;Jornada 6;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
Descansa;-;Sagrerenc C.E. Cadet A;;29/10/2017;17:00;;Jornada 3;"Cadet ""A""";08. Cadet
*RETIRAT* F.S. Llinars Pre-benjamí;-;Sagrerenc C.E. Pre-benjamí;;04/11/2017;09:00;;Jornada 4;Pre-benjami A;12. Pre-benjami
E.P. Badalona Centre Cadet;-;*RETIRAT* Betania F.S. Cadet;;04/11/2017;10:00;;Jornada 4;"Cadet ""B""";08. Cadet
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;C.F.S. La Garriga Pre-benjamí;;04/11/2017;11:00;;Jornada 4;Pre-benjami A;12. Pre-benjami
Betània Patmos Barcelona Juvenil B;-;Descansa;;04/11/2017;12:00;Escola Betània Patmos Av. Mare de Déu de Lorda- 2-16- 08034 Barcelona;Jornada 4;"Juvenil ""A""";07. Juvenil
C.f.s. Alcalà Prat - Bar La Terraza Cadet;-;Descansa;;04/11/2017;12:00;;Jornada 4;"Cadet ""A""";08. Cadet
"Futbol Sala Corbera Cadet ""A""";-;*RETIRAT* C.F.S. La Garriga Cadet;;04/11/2017;16:00;Pabellón Municipal de Deportes- C/Josep Tarradellas- 08757 Corbera de Llobregat;Jornada 4;"Cadet ""A""";08. Cadet
F.C. Ivars De Noguera;-;*RETIRAT* La Ràpita C.F.S.;;04/11/2017;16:00;Zona Esportiva Municipal Carrer Professor Gimeno- 1- 25122 Ivars de Noguera- Lleida;Jornada 5;1a Territorial D;03. 1a Territorial 2017-2018
C.e. Gadex Femení;-;A.E. Tiana Nacional Femenina;;04/11/2017;16:00;Zona Esportiva Municipal Can Rull- Carrer de Lucreci- Sabadell- España;Jornada 5;Nacional Femenina A;05. Nacional Femenina
C.F.S. Ponts;-;Descansa;;04/11/2017;17:00;;Jornada 5;2a Territorial D;04. 2ª Territorial 2017-2018
C.C.A. Plaza Macael Juvenil;-;Descansa;;04/11/2017;18:00;Polideportivo Can Vidalet- Esplugues de Llobregat- Espanya;Jornada 4;"Juvenil ""B""";07. Juvenil
*RETIRAT* Sants Atletic F.S. Femení;-;"Pony´s Futbol Sala ""A""";;04/11/2017;19:00;;Jornada 5;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* Trans Azanuy Fraga Femení;-;Jovents Balaguer;;05/11/2017;12:00;;Jornada 5;Nacional Femenina B;05. Nacional Femenina
*RETIRAT* Betania F.S. Cadet;-;Neurofutbol F.S.;;11/11/2017;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 5;"Cadet ""B""";08. Cadet
Olimpic Argentona Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;11/11/2017;10:00;;Jornada 5;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Infantil;-;Descansa;;11/11/2017;13:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 5;"Infantil ""B""";09. Infantil
C.E.F.S. Granollers Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;11/11/2017;16:00;PavellÓ Municipal De Can Bassa;Jornada 5;Pre-benjami A;12. Pre-benjami
F.s. Borges Femení;-;*RETIRAT* Trans Azanuy Fraga Femení;;11/11/2017;16:00;;Jornada 6;Nacional Femenina B;05. Nacional Femenina
Futbol Sala Altorricon;-;*RETIRAT* Club Futsal Alcarràs C;;11/11/2017;18:00;;Jornada 6;2a Territorial D;04. 2ª Territorial 2017-2018
Padre Damian Sagrados Corazones;-;*RETIRAT* F.S. Porqueres;;11/11/2017;18:30;Poliesportiu Padre Damián Sagrados Corazones;Jornada 8;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
*RETIRAT* C.F.S. La Garriga Cadet;-;Sagrerenc C.E. Cadet A;;12/11/2017;11:00;Poliesportiu Can Noguera;Jornada 5;"Cadet ""A""";08. Cadet
"F.S. Union Llagostense Mecman Infantil ""A""""";-;Descansa;;12/11/2017;12:15;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 5;"Infantil ""A""";09. Infantil
A.E. Tiana Nacional Femenina;-;*RETIRAT* Sants Atletic F.S. Femení;;12/11/2017;16:00;Poliesportiu Municipal De Tiana;Jornada 6;Nacional Femenina A;05. Nacional Femenina
Descansa;-;A.E. Tiana Cadet;;12/11/2017;17:00;;Jornada 5;"Cadet ""A""";08. Cadet
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;18/11/2017;11:00;;Jornada 6;Pre-benjami A;12. Pre-benjami
C.f.s. Alcalà Prat - Bar La Terraza Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;18/11/2017;12:00;;Jornada 6;"Cadet ""A""";08. Cadet
A.E. Sallent Cadet;-;Descansa;;18/11/2017;12:15;;Jornada 6;"Cadet ""A""";08. Cadet
C.E. Gadex Juvenil;-;Descansa;;18/11/2017;13:00;Poliesportiu Municipal Olimpia Carrer de Mauritània- 17- 08206 Sabadell- España;Jornada 6;"Juvenil ""A""";07. Juvenil
"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";-;Descansa;;18/11/2017;16:30;Pavellon Can Badell- Avinguda Prat de la Riba- Bigues i Riells- Espanya;Jornada 6;"Juvenil ""B""";07. Juvenil
Athletic Aguilar A;-;*RETIRAT* La Ràpita C.F.S.;;18/11/2017;16:30;;Jornada 7;1a Territorial D;03. 1a Territorial 2017-2018
F.S.R. Massoteres - Sant Guim de la Plana;-;*RETIRAT* Club Futsal Alcarràs C;;18/11/2017;16:30;;Jornada 7;2a Territorial D;04. 2ª Territorial 2017-2018
Futbol Sala Femení Vila-Sana;-;*RETIRAT* Trans Azanuy Fraga Femení;;18/11/2017;17:00;;Jornada 7;Nacional Femenina B;05. Nacional Femenina
Restaurant 2007 La Fuliola;-;Descansa;;18/11/2017;18:30;;Jornada 7;2a Territorial D;04. 2ª Territorial 2017-2018
*RETIRAT* Sants Atletic F.S. Femení;-;C.e. Gadex Femení;;18/11/2017;19:00;;Jornada 7;Nacional Femenina A;05. Nacional Femenina
Athletic Torre Roja Cadet;-;*RETIRAT* Betania F.S. Cadet;;19/11/2017;18:00;;Jornada 6;"Cadet ""B""";08. Cadet
*RETIRAT* Betania F.S. Cadet;-;Montsant Sala 5 Cadet;;02/12/2017;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 7;"Cadet ""B""";08. Cadet
"Escola Pia Santa Anna Mataró Infantil ""B""";-;Descansa;;02/12/2017;10:00;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 7;"Infantil ""B""";09. Infantil
Olimpic Argentona Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;02/12/2017;10:00;;Jornada 7;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;02/12/2017;11:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 7;Pre-benjami A;12. Pre-benjami
A.E. Sallent Infantil;-;Descansa;;02/12/2017;12:15;;Jornada 7;"Infantil ""A""";09. Infantil
*RETIRAT* C.F.S. La Garriga Cadet;-;A.E. Tiana Cadet;;02/12/2017;16:00;;Jornada 7;"Cadet ""A""";08. Cadet
F.S. Union Llagostense Mecman Cadet;-;Descansa;;02/12/2017;16:00;;Jornada 7;"Cadet ""A""";08. Cadet
Grup de Joves Can Tusell Cadet;-;Sagrerenc C.E. Cadet A;;02/12/2017;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 7;"Cadet ""A""";08. Cadet
E.F.S. Ripoll;-;*RETIRAT* F.S. Porqueres;;02/12/2017;18:00;;Jornada 10;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
*RETIRAT* Sants Atletic F.S. Femení;-;Teià Futbol Cinc femení;;02/12/2017;19:00;;Jornada 8;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* Trans Azanuy Fraga Femení;-;Oli Les Cabanes Juncosa F.S. Femení;;03/12/2017;12:00;;Jornada 8;Nacional Femenina B;05. Nacional Femenina
C.F.S. La Garriga Benjamí;-;F.S. Llinars Benjamí;;16/12/2017;09:00;Poliesportiu Can Noguera;Jornada 8;"Benjami ""A""";11. Benjamí
*RETIRAT* F.S. Llinars Pre-benjamí;-;C.F.S. La Garriga Pre-benjamí;;16/12/2017;09:00;;Jornada 8;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;C.E.F.S. Granollers Pre-benjamí;;16/12/2017;11:00;;Jornada 8;Pre-benjami A;12. Pre-benjami
Ivars d'Urgell F.S.F.;-;*RETIRAT* Trans Azanuy Fraga Femení;;16/12/2017;11:00;PAVELLÓ POLIESPORTIU IVARS D'URGELL;Jornada 9;Nacional Femenina B;05. Nacional Femenina
A.E. Moià Juvenil;-;Descansa;;16/12/2017;12:00;Pavelló Municipal d'Esports- Moià- Espanya;Jornada 8;"Juvenil ""A""";07. Juvenil
A.E. Sallent Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;16/12/2017;12:15;;Jornada 8;"Cadet ""A""";08. Cadet
C.F.S. Ponts;-;*RETIRAT* Club Futsal Alcarràs C;;16/12/2017;17:00;;Jornada 9;2a Territorial D;04. 2ª Territorial 2017-2018
C.f.s. Alfarràs;-;*RETIRAT* La Ràpita C.F.S.;;16/12/2017;18:00;;Jornada 9;1a Territorial D;03. 1a Territorial 2017-2018
C.E. Maristes De Rubí Juvenil;-;Descansa;;16/12/2017;19:00;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 8;"Juvenil ""B""";07. Juvenil
F.S. Llinars Senior Femeni;-;*RETIRAT* Sants Atletic F.S. Femení;;16/12/2017;20:00;;Jornada 9;Nacional Femenina A;05. Nacional Femenina
Olímpic Argentona Infantil;-;Descansa;;17/12/2017;11:00;Pavelló Municipal d' Argentona;Jornada 8;"Infantil ""B""";09. Infantil
C.E. Maristes De Rubí Cadet;-;*RETIRAT* Betania F.S. Cadet;;17/12/2017;12:15;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 8;"Cadet ""B""";08. Cadet
C.E.P.S.;-;Descansa;;17/12/2017;16:00;Poliesportiu municipal Av. Catalunya s/n 25212 Les Pallargues-Els plans de sió;Jornada 9;2a Territorial D;04. 2ª Territorial 2017-2018
Descansa;-;F.S. Llinars Cadet;;17/12/2017;17:00;;Jornada 8;"Cadet ""A""";08. Cadet
*RETIRAT* Betania F.S. Cadet;-;C.E.F.S. Granollers Cadet;;13/01/2018;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 9;"Cadet ""B""";08. Cadet
C.F.S. La Garriga Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;13/01/2018;11:00;;Jornada 9;Pre-benjami A;12. Pre-benjami
Can Palet FS;-;*RETIRAT* A.E.F.S. Montgat B;;13/01/2018;14:30;Zona Esportiva Municipal Can Jofresa Carrer de Badalona- 4-6 08223 Terrassa;Jornada 12;1a Territorial A;03. 1a Territorial 2017-2018
*RETIRAT* C.F.S. La Garriga Cadet;-;Descansa;;13/01/2018;16:00;;Jornada 9;"Cadet ""A""";08. Cadet
C.E. Maristes De Rubí Juvenil;-;Escola de Futsal Grèvol Juvenil;;13/01/2018;17:00;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 9;"Juvenil ""B""";07. Juvenil
Grup de Joves Can Tusell Cadet;-;A.E. Tiana Cadet;;13/01/2018;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 9;"Cadet ""A""";08. Cadet
C.e. Gadex B;-;C.E.S. Sabadell;;13/01/2018;17:00;Poliesportiu Municipal Olimpia Carrer de Mauritània- 17- 08206 Sabadell- España;Jornada 13;2a. Territorial A;04. 2ª Territorial 2017-2018
Futbol Sala Femeni Lloret de Mar;-;*RETIRAT* Sants Atletic F.S. Femení;;13/01/2018;19:00;;Jornada 10;Nacional Femenina A;05. Nacional Femenina
"Orange Futsal Castellbisbal ""B"" - Nacional Femenina";-;"Pony´s Futbol Sala ""A""";;13/01/2018;19:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 10;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* C.C.A. Plaza Macael;-;Teià Futbol Cinc;;13/01/2018;19:30;PavellÓ Municipal De Can Vidalet;Jornada 12;PRIMERA NACIONAL 2017-18;02. Primera Nacional 2017-2018
Sagrerenc C.E.Infantil;-;Descansa;;13/01/2018;;;Jornada 9;"Infantil ""A""";09. Infantil
Sagrerenc C.E. Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;13/01/2018;;;Jornada 9;Pre-benjami A;12. Pre-benjami
C.e. Gadex;-;*RETIRAT* A.E.F.S. Montgat B;;14/01/2018;12:00;Poliesportiu Can Balsach Carretera de Prats de Lluçanès- 2- 08208 Sabadell- Barcelona;Jornada 10;1a Territorial A;03. 1a Territorial 2017-2018
Alcarràs - Fraga Futsal;-;*RETIRAT* Trans Azanuy Fraga Femení;;14/01/2018;12:00;Pavelló Municipal Andreu Aixala;Jornada 10;Nacional Femenina B;05. Nacional Femenina
C.F.S. Clot A;-;*RETIRAT* F.S. Porqueres;;14/01/2018;20:00;;Jornada 12;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
C.F.S. Clot B;-;F.S. Begues;DAVID GALLARDO BARÓ- DAVID GUILLÉN CUELLAR- MARCO ANTONIO GALLARDO BARÓ;14/01/2018;20:00;CEM Bac de Roda- Rambla de Guipúscoa- Barcelona- Espanya;Jornada 12;PRIMERA NACIONAL 2017-18;02. Primera Nacional 2017-2018
*RETIRAT* F.S. Llinars Pre-benjamí;-;C.E.F.S. Granollers Pre-benjamí;;20/01/2018;09:00;;Jornada 10;Pre-benjami A;12. Pre-benjami
"Escola de Futsal Grèvol Cadet ""A""";-;*RETIRAT* Betania F.S. Cadet;;20/01/2018;10:45;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 10;"Cadet ""B""";08. Cadet
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;Olimpic Argentona Pre-benjamí;;20/01/2018;11:00;;Jornada 10;Pre-benjami A;12. Pre-benjami
F.S. Llinars Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;20/01/2018;15:30;;Jornada 10;"Cadet ""A""";08. Cadet
Betània Patmos Barcelona Juvenil Nacional;-;Sagrerenc C.E. Juvenil Nacional A;;20/01/2018;18:00;Pavelló Universitat de Barcelona- Avinguda Diagonal 695-701 Barcelona;Jornada 9;Juvenil Nacional;06. Juvenil Nacional
A.E.F.S. Montgat;-;*RETIRAT* C.C.A. Plaza Macael;;20/01/2018;18:00;;Jornada 13;PRIMERA NACIONAL 2017-18;02. Primera Nacional 2017-2018
"Club Futsal Alcarràs ""B""";-;*RETIRAT* La Ràpita C.F.S.;;20/01/2018;19:00;;Jornada 11;1a Territorial D;03. 1a Territorial 2017-2018
*RETIRAT* Sants Atletic F.S. Femení;-;C.E. Orange Papiol Femení;;20/01/2018;19:00;;Jornada 11;Nacional Femenina A;05. Nacional Femenina
Futsal Bellmunt;-;Descansa;;21/01/2018;12:00;;Jornada 11;2a Territorial D;04. 2ª Territorial 2017-2018
*RETIRAT* Trans Azanuy Fraga Femení;-;Celler de l' Arnau;;21/01/2018;12:00;;Jornada 11;Nacional Femenina B;05. Nacional Femenina
Descansa;-;Olímpic Argentona Cadet;;21/01/2018;17:00;;Jornada 10;"Cadet ""A""";08. Cadet
*RETIRAT* A.E.F.S. Montgat B;-;Olímpic Argentona;;21/01/2018;17:00;;Jornada 13;1a Territorial A;03. 1a Territorial 2017-2018
C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;Descansa;;27/01/2018;12:00;CEM SAGNIER- EL Prat de Llobregat- C/Federica Montseny s/n;Jornada 11;"Infantil ""B""";09. Infantil
"F.S. Esclop Juvenil ""A""";-;"F.S. Telic Group Bigues i Riells Juvenil ""A""";;27/01/2018;15:00;Escola Torreguitart Carrer de Vallirana- 14- 08207 Sabadell- Barcelona;Jornada 11;"Juvenil ""A""";07. Juvenil
Grup de Joves Can Tusell Cadet;-;Descansa;;27/01/2018;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 11;"Cadet ""A""";08. Cadet
"F.S. Esclop Infantil ""B""";-;Descansa;;27/01/2018;17:00;;Jornada 11;"Infantil ""A""";09. Infantil
FS Vinaixa Femeni;-;*RETIRAT* Trans Azanuy Fraga Femení;;27/01/2018;17:00;;Jornada 12;Nacional Femenina B;05. Nacional Femenina
F.S. Llinars Juvenil;-;Descansa;;27/01/2018;18:45;;Jornada 11;"Juvenil ""A""";07. Juvenil
Futsal Bellmunt;-;*RETIRAT* Club Futsal Alcarràs C;;27/01/2018;19:30;Pavelló Poliesportiu Bellmunt;Jornada 12;2a Territorial D;04. 2ª Territorial 2017-2018
"F.S. Esclop Juvenil ""B""";-;Descansa;;28/01/2018;12:15;;Jornada 11;"Juvenil ""B""";07. Juvenil
*RETIRAT* A.E.F.S. Montgat B;-;"Athletic Arrahona - Can Jonqueres ""A""";;28/01/2018;17:00;Pavelló Municipal De Montgat;Jornada 14;1a Territorial A;03. 1a Territorial 2017-2018
A.E. Les Botigues De Sitges;-;*RETIRAT* C.C.A. Plaza Macael;;28/01/2018;19:30;;Jornada 14;PRIMERA NACIONAL 2017-18;02. Primera Nacional 2017-2018
*RETIRAT* F.S. Llinars Pre-benjamí;-;Olimpic Argentona Pre-benjamí;;03/02/2018;09:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 1;Pre-benjami Copa;12. Pre-benjami
Betània Patmos Barcelona Cadet;-;*RETIRAT* Betania F.S. Cadet;;03/02/2018;10:00;;Jornada 12;"Cadet ""B""";08. Cadet
A.E. Moià Cadet;-;Descansa;;03/02/2018;10:30;;Jornada 12;"Cadet ""A""";08. Cadet
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;C.F.S. La Garriga Pre-benjamí;;03/02/2018;11:00;;Jornada 1;Pre-benjami Copa;12. Pre-benjami
A.E. Sallent Infantil;-;"Escola de Futsal Grèvol Infantil ""B""";RICARD MARQUEZ SIMONI;03/02/2018;12:15;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 12;"Infantil ""A""";09. Infantil
A.E. Sallent Aleví;-;F.S. Llinars Atletic Aleví;RICARD MARQUEZ SIMONI;03/02/2018;13:30;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 12;"Aleví ""A""";10. Aleví
F.S. Esclop Benjamí;-;F.S. Llinars Atletic Benjamí;YOUSSEF BOURROUHOU;04/02/2018;10:30;Col·legi Públic Gaudí- Carrer d'Ordesa- Sabadell- Espanya;Jornada 12;"Benjami ""A""";11. Benjamí
Olímpic Argentona Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;04/02/2018;11:00;;Jornada 12;"Cadet ""A""";08. Cadet
Olimpic Argentona Juvenil;-;Descansa;;04/02/2018;12:00;Pavelló Municipal d' Argentona;Jornada 12;"Juvenil ""A""";07. Juvenil
"F.S. Esclop Infantil ""B""";-;"Escola Pia Santa Anna Mataró Infantil ""A""";YOUSSEF BOURROUHOU;04/02/2018;12:00;Col·legi Públic Gaudí- Carrer d'Ordesa- Sabadell- Espanya;Jornada 12;"Infantil ""A""";09. Infantil
Montsant Sala 5 Juvenil;-;Descansa;;04/02/2018;17:30;;Jornada 12;"Juvenil ""B""";07. Juvenil
Escola de Futsal Grèvol Juvenil;-;Betània Patmos Barcelona Juvenil C;ALBERT GONZALEZ GARCIA;07/02/2018;20:00;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 6;"Juvenil ""B""";07. Juvenil
Club Futbol Sala Guíxols;-;Palafrugell Futbol Sala;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;08/02/2018;21:15;Pavelló Municipal d'esports Carles Nadal i Cosp;Jornada 11;1ª Territorial C;03. 1a Territorial 2017-2018
A.C. Coloso Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;ALBERTO IGLESIAS PALOMARES- JOSE RIZO GOMEZ;10/02/2018;10:00;Complex Esportiu Marina Besòs- Sant Adrià de Besòs- Espanya;Jornada 6;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Infantil;-;"F.S. Union Llagostense Mecman Infantil ""A""""";ANTONIO RUIZ MANCHON;10/02/2018;12:00;Poliesportiu Municipal El Cim- Carrer Josep Puigoriol s/n- Teià;Jornada 8;"Infantil ""A""";09. Infantil
Palafrugell Futbol Sala;-;F.S Fontcoberta;;10/02/2018;15:00;Pavello Poliesportiu d'esports de Palafrugell- Avinguda de les Corts Catalanes- Palafrugell- Espanya;Jornada 10;1ª Territorial C;03. 1a Territorial 2017-2018
Futbol Club Montmaneu;-;"Club Futsal Alcarràs ""B""";DAVID MACARULLA CASTAÑEDA- JUAN JOSE GONZALEZ PAVON;10/02/2018;15:30;Pavelló Poliesportiu Sant Cuim De Freixenet- Carrer Antoni Gaudí- Sant Guim de Freixenet- Espanya;Jornada 9;1a Territorial D;03. 1a Territorial 2017-2018
Escola Pia Santa Anna Mataró B;-;*RETIRAT* A.E.F.S. Montgat B;;10/02/2018;15:30;;Jornada 15;1a Territorial A;03. 1a Territorial 2017-2018
