Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;Teià F5 Infantil;4 - 0;"Escola de Futsal Grèvol Infantil ""B""";RAUL GONZALEZ MONJO;13/05/2018;10:00;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 5;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;"Olimpic Argentona Benjamí ""B""";4 - 1;"Olimpic Argentona Benjamí ""A""";DAVID VALIENTE MARTIN;13/05/2018;10:00;Pavelló Municipal d' Argentona;Jornada 6;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;F.S. Llinars Benjamí;1 - 7;C.F.S. La Garriga Benjamí;ANTONIO RUIZ MANCHON;13/05/2018;10:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 6;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;C.E. Maristes De Rubí Aleví B;6 - 7;Sagrerenc C.E. Aleví;LAURA PUCHE BARRANQUERO;13/05/2018;10:00;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Orange Futsal Castellbisbal ""B""";0 - 3;Montsant Sala5 B;FRANCISCO JAVIER LORENTE PLANA;13/05/2018;10:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""A""""";8 - 1;Olímpic Argentona Infantil;ISMAEL BENKHAJOU BAKKALI;13/05/2018;10:45;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 5;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Teià Futbol Cinc femení;7 - 2;F.s. Borges Femení;RAUL GONZALEZ MONJO;13/05/2018;11:00;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 3;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;C.F.S. La Garriga Pre-benjamí;10 - 0;Olimpic Argentona Pre-benjamí;HERMAN TORTA RECHE;13/05/2018;11:00;Can Violí -  Avinguda 11 de Setembre -  s/n -  08530 La Garriga -  Barcelona;Jornada 9;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;F.S. Llinars Aleví;10 - 0;A.E. Centelles Aleví;ANTONIO RUIZ MANCHON;13/05/2018;11:15;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Montsant Sala 5 ""A""";5 - 2;F.S. Unión Llagostense MecMan;ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA -  MATILDE GOMEZ VIÑARAS;13/05/2018;11:45;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;A.E. Sallent Infantil;-;;;13/05/2018;12:00;;Jornada 5;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;F.s. Unión Llagostense MecMan Juvenil Nacional;6 - 3;Sagrerenc C.E. Juvenil Nacional A;ISMAEL BENKHAJOU BAKKALI -  JOSE RIZO GOMEZ;13/05/2018;12:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 17;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;Olimpic Argentona Juvenil;1 - 2;C.E. Gadex Juvenil;LAUREANO PILAR VILLALBA;13/05/2018;12:00;Pavelló Municipal d' Argentona;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;F.S. Hostalriquenc Juvenil;7 - 1;"F.S. Esclop Juvenil ""A""";FRANCISCO JAVIER SANGUINO BLANQUIÑO;13/05/2018;12:00;Pavelló Municipal d' Hostalric;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;C.F.S. La Garriga Aleví;6 - 3;F.S. Esclop Aleví;HERMAN TORTA RECHE;13/05/2018;12:00;Can Violí -  Avinguda 11 de Setembre -  s/n -  08530 La Garriga -  Barcelona;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Athletic Arrahona - Can Jonqueres ""A""";2 - 3;Teià Futbol Cinc B;JOEL JIMENEZ RODRIGUEZ -  PAOLO FORTUNATI RUBEIS;13/05/2018;12:15;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Llinars Infantil;4 - 5;"F.S. Esclop Infantil ""B""";ANTONIO RUIZ MANCHON;13/05/2018;12:30;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 5;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Teià Futbol Cinc;6 - 4;Escola Pia Santa Anna Mataró;DAVID VALIENTE MARTIN -  RAUL GONZALEZ MONJO -  SANDRA GARRIS CUBA;13/05/2018;12:30;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Futsal Dante;8 - 5;Sagrerenc C.E. A;CARLOS GÓMEZ GONZÁLEZ -  JONATHAN GALVIS ARANGO -  JOSEP GONZALEZ GARCIA;13/05/2018;13:15;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;F.S. Llinars Atletic Benjamí;5 - 2;F.S. Esclop Benjamí;HERMAN TORTA RECHE;13/05/2018;13:30;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 6;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;Betis Catalunya F.S. B;1 - 5;C.e. Gadex B;LAUREANO PILAR VILLALBA;13/05/2018;13:45;Poliesportiu Bon Pastor;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. La Salut;3 - 5;Sants Atletic F.S.;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;13/05/2018;15:00;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;CEFS Begur;2 - 0;Atlètic Vidreres;FERRAN RUIZ MEDINA -  LLUIS SANCHEZ GARCIA;13/05/2018;16:00;Pavelló de Begur -  Carrer del Pavelló Begur;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Montsant Sala 5 Cadet;7 - 3;"Futbol Sala Corbera Cadet ""B""";ISMAEL BENKHAJOU BAKKALI;13/05/2018;16:00;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S. Llinars Cadet;6 - 1;F.S. Union Llagostense Mecman Cadet;DAVID VALIENTE MARTIN;13/05/2018;17:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Athletic Torre Roja Cadet;4 - 9;"Escola de Futsal Grèvol Cadet ""B""";MARIANO BURGOS BONAVENTURA;13/05/2018;17:00;Avinguda dels Germans Gabrielistes -  16 -  Viladecans -  Espanya;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;A.E. Tiana;3 - 3;C.F.S. Clot A;ALBERT GONZALEZ GARCIA -  ANTONIO RUIZ MANCHON -  JOAN GIBERT REY;13/05/2018;17:00;Poliesportiu Municipal De Tiana;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí;3 - 1;C.D Esmeralda Procell F.s.;LAUREANO PILAR VILLALBA -  MARC GUINOVART PLANA;13/05/2018;17:30;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Athletic Torre Roja Juvenil;4 - 4;Betània Patmos Barcelona Juvenil C;MARIANO BURGOS BONAVENTURA;13/05/2018;18:00;Avinguda dels Germans Gabrielistes -  16 -  Viladecans -  Espanya;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;CFS Ibers Santa Coloma;6 - 1;C.C.A. Plaza Macael B;MATILDE GOMEZ VIÑARAS -  PAOLO FORTUNATI RUBEIS;13/05/2018;18:00;Pavelló Esportiu de la Bastida Carrer de Prat de la Riba -  s/n 08921 Santa Coloma de Gramenet Barcelona;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;A.E. Les Botigues De Sitges;7 - 5;C.F.S. Clot B;CARLOS GÓMEZ GONZÁLEZ -  JONATHAN GALVIS ARANGO -  MARIANO BURGOS BONAVENTURA;13/05/2018;19:00;Pavelló Can Roca -  Carrer del Castanyer -  s/n 08860 Castelldefels -  Barcelona;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;"Futbol Sala Corbera Cadet ""B""";8 - 4;E.P. Badalona Centre Cadet;DAVID VALIENTE MARTIN;15/05/2018;19:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;E.P. Badalona Centre Infantil;0 - 9;"F.S. Esclop Infantil ""A""";ALBERT GONZALEZ GARCIA;16/05/2018;19:00;Escola Jungfrau Carrer Vila Vall-Llebrera -  s/n -  08911 Badalona;Jornada 4;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;"F.S. Esclop Juvenil ""B""";2 - 2;Betania F.S.Juvenil;OMAR DOUAS BERROHOUY;16/05/2018;20:30;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.f.s. Alcalà Prat - Bar La Terraza Cadet;0 - 2;Sagrerenc C.E. Cadet A;JOAN GIBERT REY;17/05/2018;21:00;CEM SAGNIER -  EL Prat de Llobregat -  C/Federica Montseny s/n;Cuartos de final;COPA CADET;;COPA CADET;Fútbol sala
;;F.S. Esclop;3 - 4;"Olímpic Argentona ""B""";DAVID VALIENTE MARTIN;17/05/2018;21:00;Escola Torreguitart Carrer de Vallirana -  14 -  08207 Sabadell -  Barcelona;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Montsant Sala5 B;3 - 1;Atlètic Sant Boi;MIQUEL VILASECA BARRUFET;17/05/2018;21:50;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. La Garriga Infantil;2 - 1;"F.S. Esclop Infantil ""B""";DAVID VALIENTE MARTIN;18/05/2018;20:00;Poliesportiu Can Noguera;Jornada 7;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Futsal Dante Cadet;9 - 2;E.P. Badalona Centre Cadet;MIQUEL VILASECA BARRUFET;18/05/2018;20:30;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 19;"Cadet ""B""";;08. Cadet;Fútbol sala
;;A.E. Sallent Cadet;10 - 1;F.S. Union Llagostense Mecman Cadet;RICARD MARQUEZ SIMONI;19/05/2018;09:30;Pavelló Municipal De Balsareny;Jornada 16;"Cadet ""A""";;08. Cadet;Fútbol sala
;;E.P. Badalona Centre Infantil;1 - 1;A.E. Sallent Infantil;PABLO GARCIA LLUBIA;19/05/2018;10:00;Escola Jungfrau Carrer Vila Vall-Llebrera -  s/n -  08911 Badalona;Jornada 6;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Montsant Sala 5 Juvenil;3 - 1;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";LAURA PUCHE BARRANQUERO;19/05/2018;10:00;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Betània Patmos Barcelona Juvenil B;5 - 0;A.E. Moià Juvenil;JOSE MANUEL GÜISADO PLIBERSCHNIG;19/05/2018;12:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Jornada 17;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Sagrerenc C.E. Juvenil Nacional A;3 - 3;Betània Patmos Barcelona Juvenil Nacional;DAVID GALLARDO BARÓ -  MARCO ANTONIO GALLARDO BARÓ;19/05/2018;12:00;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 18;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;"F.S. Esclop Juvenil ""A""";3 - 4;Sagrerenc C.E. Juvenil B;PAOLO FORTUNATI RUBEIS;19/05/2018;12:30;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 21;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Jesuïtes Clot Juvenil Nacional;5 - 4;Teià F5 Juvenil Nacional;JOSE MANUEL GÜISADO PLIBERSCHNIG -  NICOLAS ANDRES VALBUENA TORRES;19/05/2018;14:00;Pista Poliesportiva Clot De La Mel;Jornada 6;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;A.E. I.E.S. Manuel Blancafort;2 - 2;Teià Futbol Cinc femení;ANTONIO RUIZ MANCHON;19/05/2018;16:00;Can Violí -  Avinguda 11 de Setembre -  s/n -  08530 La Garriga -  Barcelona;Jornada 4;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;F.S. Unión Llagostense MecMan;0 - 2;E.F.S. Alta Segarra;JONATHAN GALVIS ARANGO -  JOSE RIZO GOMEZ -  MARI CARMEN DELGADO MORALES;19/05/2018;16:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;"Padre Damián Sagrados Corazones ""B""";4 - 3;"Futsal Dante ""B""";CARLOS ARANDA PORTILLO -  GABRIEL MORALES CAÑAS;19/05/2018;16:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Gelida Industrial F.S.C. ""A""";0 - 0;Albelda Futsal;JOEL JIMENEZ RODRIGUEZ -  MANUEL MALDONADO LOPEZ -  SERGIO RODRIGUEZ PEREZ;19/05/2018;16:15;Pavelló Municipal d'Esports de Gelida;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;"F.S. Telic Group Bigues i Riells Juvenil ""A""";7 - 0;F.S. Hostalriquenc Juvenil;JOSEP GONZALEZ GARCIA;19/05/2018;16:30;Pavellon Can Badell -  Avinguda Prat de la Riba -  Bigues i Riells -  Espanya;Jornada 7;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;F.S. La Salut;0 - 0;CFS Sagrada Familia;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;19/05/2018;16:30;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Atletic Arrahona B;7 - 4;"Orange Futsal Castellbisbal ""B""";BILAL ARROUCHDI;19/05/2018;16:30;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.E.F.S. Granollers C;5 - 1;F.S Union La Salut Badalona A;HERMAN TORTA RECHE -  ROGER TORRENT ARNAU;19/05/2018;17:00;PavellÓ Municipal De Can Bassa;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.E. Orange Papiol;7 - 4;A.E. Les Botigues De Sitges;JORDI GAITX PLA -  OSCAR KEVIN GUTIERREZ GUTIERREZ -  RICARD MARQUEZ SIMONI;19/05/2018;17:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;A.E. Tiana B;2 - 3;F.S. Esclop;ISMAEL BENKHAJOU BAKKALI;19/05/2018;17:00;Poliesportiu Municipal De Tiana;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. La Garriga;0 - 5;C.D Esmeralda Procell F.s.;ANTONIO RUIZ MANCHON -  MARC MIRON RUIZ;19/05/2018;17:30;Poliesportiu Can Noguera;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Atlètic Vidreres;4 - 5;E.F.S. Ripoll B Sant Pau de Segúries;FRANCISCO JAVIER SANGUINO BLANQUIÑO -  MIGUEL ANGEL MONGE PEREZ;19/05/2018;18:00;PavellÓ Municipal De Vidreres;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;F.C. Ivars De Noguera;5 - 1;Athletic Aguilar A;FRANCISCO JUAN INGLES PAREJA;19/05/2018;18:00;Zona Esportiva Municipal Carrer Professor Gimeno -  1 -  25122 Ivars de Noguera -  Lleida;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;Padre Damian Sagrados Corazones;4 - 2;A.C.E. Sansur;CARLOS ARANDA PORTILLO -  GABRIEL MORALES CAÑAS -  JOAN RAMON BERNARDO MAÑÉ;19/05/2018;18:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;E.F.S. Ripoll;0 - 5;"Montsant Sala 5 ""A""";;19/05/2018;18:00;Centre de Tecnificació Esportiva l'Avellaneda -  Ripoll -  Espanya;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Betània Patmos Barcelona B;6 - 0;C.E.F.S. Granollers B;NICOLAS ANDRES VALBUENA TORRES -  PAOLO FORTUNATI RUBEIS;19/05/2018;18:00;Pavelló Universitat de Barcelona -  Avinguda Diagonal 695-701 Barcelona;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.e. Gadex B;10 - 2;Futbolmania F.S.;LAUREANO PILAR VILLALBA;19/05/2018;18:00;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S Fontcoberta;2 - 5;F.S. Caldes De Malavella;GABINO FERNÁNDEZ SEGURA -  LLUIS SANCHEZ GARCIA;19/05/2018;18:30;Pavelló Municipal de Fontcoberta Avinguda de la Pedrera -  17833 Fontcoberta -  Girona;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;C.E.F.S. Granollers;2 - 4;A.E. Tiana;HERMAN TORTA RECHE -  JOSEP GONZALEZ GARCIA -  ROGER TORRENT ARNAU;19/05/2018;19:00;PavellÓ Municipal De Can Bassa;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Betània Patmos Barcelona;1 - 1;F.s. Borges;CARLOS GÓMEZ GONZÁLEZ -  NICOLAS ANDRES VALBUENA TORRES -  PAOLO FORTUNATI RUBEIS;19/05/2018;19:30;Pavelló Universitat de Barcelona -  Avinguda Diagonal 695-701 Barcelona;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;P.B. Montgrí;5 - 5;Joves de Vidreres C.F.S.;DANIEL MORENO LEON -  FERRAN RUIZ MEDINA;19/05/2018;20:00;PavellÓ Municipal De Torroella De MontgrÍ;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Olímpic Argentona;3 - 2;Escola Pia Santa Anna Mataró B;ANTONIO RUIZ MANCHON -  MARIANO BURGOS BONAVENTURA;19/05/2018;20:00;Pavelló Municipal d' Argentona;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sants Atletic F.S.;5 - 3;Penya Recreativa Sant Feliu de Llobregat;DAVID GALLARDO BARÓ -  MARCO ANTONIO GALLARDO BARÓ;19/05/2018;20:30;Complex Esportiu La Báscula -  Barcelona -  Espanya;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Esclop Infantil ""B""";4 - 0;"Escola Pia Santa Anna Mataró Infantil ""C""";DAVID VALIENTE MARTIN;20/05/2018;09:30;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 6;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Betis Catalunya F.S.;2 - 1;CFS Ibers Santa Coloma;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;20/05/2018;10:30;Poliesportiu Bon Pastor;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""B""";1 - 6;Teià F5 Infantil;JOEL JIMENEZ RODRIGUEZ;20/05/2018;10:45;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 6;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;"F.S. Esclop Infantil ""A""";21 - 1;A.E. Moià Infantil;DAVID VALIENTE MARTIN;20/05/2018;11:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 6;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Teià Futbol Cinc;6 - 0;C.E. Orange Papiol;DAVID GALLARDO BARÓ -  DAVID GUILLÉN CUELLAR -  MARCO ANTONIO GALLARDO BARÓ;20/05/2018;11:00;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 9;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Esclop Benjamí;4 - 2;F.S. Telic Group Bigues i Riells Benjamí;PAOLO FORTUNATI RUBEIS;20/05/2018;12:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 5;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;C.F.S. La Garriga Infantil;2 - 2;F.S. Llinars Infantil;HERMAN TORTA RECHE;20/05/2018;12:00;Can Violí -  Avinguda 11 de Setembre -  s/n -  08530 La Garriga -  Barcelona;Jornada 6;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;F.s. Unión Llagostense MecMan B;5 - 9;F.S. Begues;JOEL JIMENEZ RODRIGUEZ -  JOSE RIZO GOMEZ -  MARI CARMEN DELGADO MORALES;20/05/2018;12:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Futbol Sala Colomense;3 - 1;Futbol Sala Corbera;MARIANO BURGOS BONAVENTURA;20/05/2018;12:00;Pavelló Esportiu de la Bastida Carrer de Prat de la Riba -  s/n 08921 Santa Coloma de Gramenet Barcelona;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Olímpic Argentona ""B""";4 - 2;F.S. Viladecavalls;ANTONIO RUIZ MANCHON;20/05/2018;12:00;Pavelló Municipal d' Argentona;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.E.S. Sabadell;2 - 6;Betis Catalunya F.S. B;LAUREANO PILAR VILLALBA;20/05/2018;12:00;Complex Esportiu Municipal Sant Oleguer -  Camí Can Quadres -  Sabadell -  Espanya;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.e. Gadex B;1 - 5;Atletic Arrahona B;ADRIA VENTEO GONZÁLEZ;20/05/2018;12:15;Pavellò Municipal d'esports Carrer sol i padris a Sabadell;Jornada 21;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. Inter Raudovan Hospitalet;5 - 4;C.E. Maristes De Rubí;ALBERT GONZALEZ GARCIA -  RAUL GONZALEZ MONJO;20/05/2018;12:15;Poliesportiu Zal Barcelona BCN -  Carrer de la Mar Roja -  Barcelona -  España;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S Union La Salut Badalona B;4 - 2;"Padre Damián Sagrados Corazones ""C""";DOMENEC FOLGUERA AMPURDANES;20/05/2018;12:30;Polideportivo Municipal Llefia;Jornada 27;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"F.S. Esclop Juvenil ""A""";3 - 3;"F.S. Telic Group Bigues i Riells Juvenil ""A""";PAOLO FORTUNATI RUBEIS;20/05/2018;13:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 11;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Futsal Cadaqués;5 - 3;P.B. Montgrí;FRANCESC ALBARRAN PIZARRO -  SERGI ALBARRAN RINCON;20/05/2018;14:30;Pavelló Municipal de Cadaqués -  Cadaqués -  Espanya;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;C.F.S. Clot B;6 - 2;F.S. Tèlic Group Bigues i Riells;ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA -  MIQUEL VILASECA BARRUFET;20/05/2018;17:00;CEM Bac de Roda -  Rambla de Guipúscoa -  Barcelona -  Espanya;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;C.C.A. Plaza Macael B;3 - 7;A.C.E. Sansur B;JOSE RIZO GOMEZ -  NICOLAS ANDRES VALBUENA TORRES;20/05/2018;18:00;Polideportivo Can Vidalet -  Esplugues de Llobregat -  Espanya;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.F.S. Clot A;6 - 5;Futsal Dante;ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA -  MIQUEL VILASECA BARRUFET;20/05/2018;19:00;CEM Bac de Roda -  Rambla de Guipúscoa -  Barcelona -  Espanya;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Athletic Torre Roja;2 - 4;Sagrerenc C.E. B;ALBERTO IGLESIAS PALOMARES -  CARLOS GÓMEZ GONZÁLEZ;20/05/2018;19:15;Avinguda dels Germans Gabrielistes -  16 -  Viladecans -  Espanya;Jornada 24;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
